Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
6MA/6MB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Camareiro;;Higiene Concorrente VI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Transferida para ENF22N1S. Concluiu apenas o AE;E - Falta de Tempo;27/03/2023;;;;;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Concluiu Aux.;Financeiro;05/08/2022;ago/22;;;;;;;
6MA/6MB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ADMPTA 22M1S;fev/22;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Técnico Administrativo I;;Unidade Paulista;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;;;;;Einstein;sim
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Contrato determinado;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Morumbi - UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;Contrato determinado;;;;;
ENF EURO 3T;ago/18;jun/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Cardio e Neuro;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5MA;jan/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;UPA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado;Por nota no estágio de PG;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MB;jan/18;dez/19;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;;;;;;;;;Sim;;Cursando;;
6T;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;Morumbi - UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Transplante;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Transplante;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Santa Marcelina;;;Pronto Atendimento;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Santa Marcelina;;;Pronto Atendimento;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Não;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Pré Internação Cirúrgica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado/Reserva de vaga;2º ano inteiro;;;;;;;;;;
ENF21T1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Tem interesse em vagas na clinica de alphaville e perdizes;;;;;sim
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;Matriculada 23M1S;Saúde;13/04/2022;;;;;;;;
8N;fev/19;dez/20;;Sim;Grupo Vida;;;Home Care;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Grupo Vida;;;Home Care;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação Geriátrica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Internação Geriátrica;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;Centro Obstétrico;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
